№,Секунда,Микросекунда
1,23,905269
2,23,915779
3,23,925968
4,23,936240
5,23,946384
6,23,956896
7,23,966978
8,23,977221
9,23,987740
10,23,998318
11,24,8823
12,24,19134
13,24,29391
14,24,39905
15,24,49966
16,24,60491
17,24,71005
18,24,81453
19,24,91971
20,24,102081
21,24,112223
22,24,122561
23,24,132713
24,24,143277
25,24,153814
26,24,163978
27,24,174019
28,24,184328
29,24,194845
30,24,204926
31,24,215188
32,24,225636
33,24,236151
34,24,246663
35,24,257190
36,24,267704
37,24,277792
38,24,288102
39,24,298183
40,24,308291
41,24,318804
42,24,329020
43,24,339100
44,24,349196
45,24,359288
46,24,369800
47,24,379888
48,24,390014
49,24,400144
50,24,410347
51,24,420861
52,24,430954
53,24,441231
54,24,451740
55,24,462151
56,24,472195
57,24,482727
58,24,492803
59,24,503148
60,24,513689
61,24,523771
62,24,534311
63,24,544821
64,24,555318
65,24,565832
66,24,576250
67,24,586762
68,24,597146
69,24,607394
70,24,617905
71,24,628198
72,24,638297
73,24,648808
74,24,659332
75,24,669374
76,24,679887
77,24,690088
78,24,700297
79,24,710398
80,24,720916
81,24,731093
82,24,741288
83,24,751426
84,24,761937
85,24,772301
86,24,782610
87,24,792668
88,24,803075
89,24,813149
90,24,823660
91,24,834211
92,24,844725
93,24,855264
94,24,865775
95,24,876296
96,24,886371
97,24,896480
98,24,906695
99,24,916804
100,24,927309
101,24,937825
102,24,948010
103,24,958325
104,24,968837
105,24,979185
106,24,989434
107,24,999949
108,25,10155
109,25,20448
110,25,30961
111,25,41439
112,25,51952
113,25,62305
114,25,72836
115,25,83326
116,25,93861
117,25,103959
118,25,114334
119,25,124848
120,25,134947
121,25,145500
122,25,156012
123,25,166236
124,25,176752
125,25,186872
126,25,197092
127,25,207318
128,25,217830
129,25,227951
130,25,238307
131,25,248823
132,25,259378
133,25,269896
134,25,280000
135,25,290315
136,25,300826
137,25,310947
138,25,321267
139,25,331310
140,25,341821
141,25,352344
142,25,362569
143,25,373104
144,25,383179
145,25,393714
146,25,403880
147,25,414388
148,25,424900
149,25,435439
150,25,445953
151,25,456103
152,25,466325
153,25,476839
154,25,487026
155,25,497179
156,25,507345
157,25,517864
158,25,528305
159,25,538820
160,25,549336
161,25,559625
162,25,570143
163,25,580499
164,25,591011
165,25,601166
166,25,611268
167,25,621783
168,25,632177
169,25,642390
170,25,652923
171,25,662959
172,25,673006
173,25,683365
174,25,693899
175,25,704058
176,25,714568
177,25,724889
178,25,735082
179,25,745319
180,25,755836
181,25,766221
182,25,776737
183,25,786878
184,25,797404
185,25,807950
186,25,818152
187,25,828679
188,25,838896
189,25,849253
190,25,859330
191,25,869846
192,25,880132
193,25,890380
194,25,900895
195,25,910996
196,25,921525
197,25,932042
198,25,942557
199,25,953091
200,25,963654
201,25,974206
202,25,984252
203,25,994304
204,26,4827
205,26,15391
206,26,25908
207,26,36330
208,26,46848
209,26,56935
210,26,67453
211,26,78012
212,26,88132
213,26,98464
214,26,108530
215,26,119047
216,26,129211
217,26,139730
218,26,149877
219,26,159944
220,26,170228
221,26,180365
222,26,190882
223,26,201083
224,26,211157
225,26,221233
226,26,231754
227,26,241982
228,26,252059
229,26,262226
230,26,272309
231,26,282835
232,26,292868
233,26,302915
234,26,312984
235,26,323047
236,26,333226
237,26,343737
238,26,353801
239,26,364338
240,26,374383
241,26,384426
242,26,394949
243,26,405334
244,26,415852
245,26,426113
246,26,436230
247,26,446744
248,26,456834
249,26,467042
250,26,477308
251,26,487820
252,26,498006
253,26,508187
254,26,518256
255,26,528768
256,26,538829
257,26,549349
258,26,559413
259,26,569924
260,26,580231
261,26,590567
262,26,601079
263,26,611180
264,26,621705
265,26,632221
266,26,642341
267,26,652884
268,26,662972
269,26,673032
270,26,683584
271,26,694111
272,26,704397
273,26,714913
274,26,725230
275,26,735746
276,26,746278
277,26,756790
278,26,766868
279,26,777385
280,26,787698
281,26,798211
282,26,808430
283,26,818946
284,26,829331
285,26,839846
286,26,850011
287,26,860109
288,26,870678
289,26,881191
290,26,891258
291,26,901371
292,26,911489
293,26,922003
294,26,932527
295,26,943058
296,26,953123
297,26,963446
298,26,973974
299,26,984106
300,26,994151
